script_id,script_url,label,predicted_label,predicted_probability,prediction_confidence,failure_type,max_api_aggregation_score,behavioral_api_agg_count,fp_api_agg_count,behavioral_source_api_count,fingerprinting_source_api_count,graph_construction_failure,dataflow_to_sink,total_fp_api_accesses,num_sink_types,has_storage_sink,has_network_sink,mouse_event_count,keyboard_event_count,touch_event_count,pointer_event_count,behavioral_event_diversity,behavioral_ratio,intensity_ratio
7393222,https://s.go-mpulse.net/boomerang/XRGH4-AMVXP-8V3RS-RRMRG-BPHDG,0,0,0.007991223985313697,0.9920087760146863,Correct,15.0,2.0,13.0,7.0,17.0,0,1,27,6,1,1,1,2,0,4,3,0.2916666666666667,0.375
7393570,https://js-agent.newrelic.com/nr-spa-1.260.1.min.js,0,0,0.030804508329396928,0.9691954916706031,Correct,12.0,12.0,0.0,12.0,1.0,0,0,2,0,0,0,2,2,2,2,4,0.9230769230769231,2.923076923076923
7397362,https://decagon.ai/loaders/wealthsimple.js,0,0,0.0,1.0,Correct,2.0,2.0,0.0,2.0,3.0,0,0,4,0,0,0,2,0,0,0,1,0.4,0.4
7397186,https://sc-static.net/scevent.min.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,4.0,0,0,4,0,0,0,0,0,0,1,1,0.2,0.6
7392703,https://connect.facebook.net/signals/config/1705418706399109?v=2.9.201&r=stable&domain=www.midcountry.bank&hme=9ebdfdd473ffce6bfe2267012c83f73483198ffe20d84139a2066b7682f827c0&ex_m=73%2C128%2C113%2C117%2C64%2C6%2C106%2C72%2C19%2C100%2C92%2C54%2C57%2C181%2C202%2C209%2C205%2C206%2C208%2C32%2C107%2C56%2C80%2C207%2C176%2C179%2C203%2C204%2C189%2C139%2C44%2C194%2C191%2C192%2C37%2C151%2C18%2C53%2C198%2C197%2C141%2C21%2C43%2C2%2C46%2C68%2C69%2C70%2C74%2C96%2C20%2C17%2C99%2C95%2C94%2C114%2C55%2C116%2C42%2C115%2C33%2C97%2C29%2C177%2C180%2C148%2C14%2C15%2C16%2C8%2C9%2C28%2C25%2C26%2C60%2C65%2C67%2C78%2C105%2C108%2C30%2C79%2C12%2C10%2C83%2C51%2C24%2C110%2C109%2C111%2C102%2C13%2C23%2C4%2C41%2C77%2C22%2C160%2C89%2C135%2C76%2C1%2C98%2C59%2C87%2C36%2C31%2C85%2C86%2C91%2C40%2C7%2C93%2C84%2C47%2C35%2C38%2C0%2C71%2C118%2C90%2C5%2C50%2C49%2C101%2C88%2C246%2C174%2C126%2C163%2C156%2C3%2C39%2C66%2C45%2C112%2C48%2C82%2C63%2C62%2C34%2C103%2C61%2C58%2C52%2C81%2C75%2C27%2C104%2C11%2C119%2C172%2C199%2C201%2C248%2C175%2C129%2C153%2C137%2C245%2C123%2C154%2C182%2C168%2C125%2C144%2C130%2C196%2C120%2C158%2C136,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1.0,2.0
7396253,https://www.thehonestkitchen.com/cdn/wpm/b9f94c53cwe611d86fp8ced7fbdmadbd84f4l.js,0,0,0.08935960972772466,0.9106403902722753,Correct,16.0,0.0,16.0,23.0,16.0,0,1,19,3,1,0,11,0,0,11,2,0.5897435897435898,1.1025641025641026
7397742,https://fast.wistia.com/assets/external/iframeApi.js,0,0,0.0,1.0,Correct,18.0,18.0,0.0,18.0,4.0,0,1,8,1,1,0,6,2,2,6,4,0.8181818181818182,1.7272727272727273
7404624,https://assets.upzelo.com/launcher/index.js,0,0,0.0,1.0,Correct,-1.0,-1.0,-1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1.0,1.0
7393369,https://js-agent.newrelic.com/nr-spa-recorder-1.260.1.min.js,0,0,0.0,1.0,Correct,1.0,1.0,0.0,2.0,2.0,0,0,2,0,0,0,0,0,1,1,2,0.5,1.0
7397051,https://www.beautyheaven.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.7.1.1747154821,0,0,0.0,1.0,Correct,6.0,6.0,0.0,13.0,8.0,0,0,9,0,0,0,6,0,0,7,2,0.6190476190476191,1.0952380952380953
7397974,https://www.diffeyewear.com/cdn/wpm/b9f94c53cwe611d86fp8ced7fbdmadbd84f4l.js,0,0,0.0026743181098211376,0.9973256818901788,Correct,16.0,0.0,16.0,12.0,16.0,0,1,17,2,1,0,0,0,0,11,1,0.42857142857142855,0.7857142857142857
7398211,https://www.keenfootwear.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-1.6.2.min.js,0,0,0.0,1.0,Correct,2.0,0.0,2.0,6.0,7.0,0,0,10,0,0,0,3,0,0,3,2,0.46153846153846156,0.46153846153846156
7398220,https://www.keenfootwear.com/,0,0,0.0,1.0,Correct,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
